RAM,brand,capacity,color,depth,display_size,fingerprint,generation/release,graphics_card,height,item_title,operating_system,operating_system_architecture,price,touch_display,weight,width
4 GB RAM,Acer,64 GB (eMMC),Gold,228.00 mm ( 8.98 in ),"14""",Yes,2018,Intel HD Graphics 600,15.00 mm ( .59 in ),Swift 1 SF114-32-C4GB,Windows 10 S,64 bit,1349.0,No,1.30 kg ( 2.87 lb ),323.00 mm ( 12.72 in )
4 GB RAM,Acer,64 GB (eMMC),Silver,228.00 mm ( 8.98 in ),"14""",Yes,2018,Intel HD Graphics 600,15.00 mm ( .59 in ),Swift 1 SF114-32-C4GB,Windows 10 S,64 bit,1349.0,No,1.30 kg ( 2.87 lb ),323.00 mm ( 12.72 in )
8 GB RAM,HP,256 GB PCIe NVMe M.2 SSD,Natural Silver,1.54 cm ( .61 in ),"13.3""",NA,2018,Intel UHD Graphics 620,21.10 cm ( 8.31 in ),Pavilion 13-an0001nx,Windows 10,64 bit,3999.0,No,1.30 kg ( 2.87 lb ),31.10 cm ( 12.24 in )
8 GB RAM,Apple,128 GB (PCIe SSD),Silver,21.24 cm ( 8.36 in ),"13.3""",Yes,2019,Intel UHD Graphics 617,1.56 cm ( .61 in ),MacBook Air (Retina),macOS Mojave,Not Specified,4799.0,No,1.25 kg ( 2.76 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Dell,1 TB HDD,Silver,258.00 mm ( 10.16 in ),"15.6""",NA,2017,AMD Radeon 530 (2 GB),22.70 mm ( .89 in ),Inspiron 15 5570,Windows 10,64 bit,4099.0,No,2.20 kg ( 4.85 lb ),380.00 mm ( 14.96 in )
4 GB RAM,Acer,16 GB (Optane)/1 TB HDD,Black,259.00 mm ( 10.20 in ),"15.6""",NA,2018,Intel UHD Graphics 620,20.95 mm ( .82 in ),Aspire 3 A315-53-52ZL,Windows 10,64 bit,2199.0,No,2.10 kg ( 4.63 lb ),381.60 mm ( 15.02 in )
8 GB RAM,Dell,128 GB PCIe NVMe M.2 SSD/1 TB HDD,Grey,232.00 mm ( 9.13 in ),"14""",Yes,2018,NVIDIA GeForce MX130 (2 GB),18.20 mm ( .72 in ),Vostro 5481,Windows 10,64 bit,3399.0,No,1.55 kg ( 3.42 lb ),324.90 mm ( 12.79 in )
8 GB RAM,Dell,256 GB PCIe NVMe M.2 SSD,Silver,199.24 mm ( 7.84 in ),"13.3""",NA,2018,Intel UHD Graphics 620,7.80 mm ( .31 in ),XPS 13 9360,Windows 10,64 bit,4399.0,No,1.32 kg ( 2.91 lb ),301.76 mm ( 11.88 in )
8 GB RAM,HP,1 TB HDD,Mineral Silver,1.79 cm ( .70 in ),"15.6""",NA,2019,NVIDIA GeForce MX130 (2 GB),24.56 cm ( 9.67 in ),Pavilion 15-cs2011nx,Windows 10,64 bit,2799.0,No,1.94 kg ( 4.28 lb ),36.16 cm ( 14.24 in )
8 GB RAM,Asus,256 GB SSD,Blue,22.50 cm ( 8.86 in ),"14""",NA,2017,NVIDIA GeForce MX150 (2 GB),1.59 cm ( .63 in ),ZenBook UX430UN,Windows 10,64 bit,0.0,No,1.30 kg ( 2.87 lb ),32.40 cm ( 12.76 in )
